num_shots,launch_velo_mean,launch_velo_std,launch_velo_inconsistency_zscore,launch_velo_inconsistency_percentile,launch_velo_consistency_percentile,launch_angle_mean,launch_angle_std,launch_angle_inconsistency_zscore,launch_angle_inconsistency_percentile,launch_angle_consistency_percentile,launch_distance_inconsistency_zscore,launch_distance_inconsistency_percentile,launch_distance_consistency_percentile,dist_from_sweet_mean,dist_from_sweet_std,shooting_percentage,shooting_percentage_zscore,shooting_percentage_percentile,command,command_zscore,command_percentile,inconsistency_score,inconsistency_score_percentile,consistency_score_percentile
161,14.86858923,0.286539153,0.644776102,57.54896042,42.45103958,49.85964621,1.624611471,0.109225467,36.22578365,63.77421635,-0.049667972,39.31784679,60.68215321,0.42023108,0.225000963,0.677018634,-1.269209848,45.39384228,0.677196822,-0.663308431,54.02153595,0.754001569,55.48642643,44.51357357
117,14.89388482,0.225447216,-1.205328378,29.01243077,70.98756923,50.19134818,1.233066043,-1.303657262,13.19184155,86.80815845,-1.005814341,24.64555047,75.35444953,0.331419321,0.179534903,0.863247863,1.069681095,85.7013999,0.726256604,1.31618057,86.56608477,-2.50898564,21.71019798,78.28980202
356,14.46607185,0.308693427,1.315694765,67.89739777,32.10260223,44.58977447,1.853367177,0.934685203,49.6830872,50.3169128,1.791765008,67.57507935,32.42492065,0.359310757,0.21174685,0.808988764,0.388229983,73.95753042,0.705685284,0.486158482,72.91978801,2.250379968,70.97591976,29.02408024
340,14.91258184,0.289944013,0.747888681,59.13939771,40.86060229,51.98160506,1.604905638,0.038117418,35.06652348,64.93347652,-0.253652148,36.18766047,63.81233953,0.418464398,0.233681926,0.747058824,-0.389560792,60.55337979,0.675999596,-0.711614721,53.22733784,0.786006099,55.81771559,44.18228441
380,14.51961072,0.278883114,0.412921089,53.97276375,46.02723625,47.09779881,1.701352594,0.386144053,40.7403315,59.2596685,0.965939107,54.90258201,45.09741799,0.389750329,0.198552908,0.802631579,0.308388797,72.58157775,0.695695139,0.083071063,66.29267455,0.799065142,55.95289394,44.04710606
398,15.03323631,0.258830219,-0.194359566,44.60589686,55.39410314,51.81260393,1.317518125,-0.998913855,18.16001184,81.83998816,-0.443369349,33.27640433,66.72359567,0.345364887,0.195637171,0.871859296,1.177833845,87.56526328,0.715857173,0.896579021,79.66746443,-1.193273421,35.32955767,64.67044233
240,14.81379771,0.285769766,0.621476034,57.18957363,42.81042637,47.27734098,1.988063087,1.420732312,57.60701517,42.39298483,-0.338133317,34.89127659,65.10872341,0.440881227,0.259991583,0.625,-1.922522494,34.13490043,0.661449206,-1.298701267,43.57511612,2.042208346,68.82106846,31.17893154
112,14.63128466,0.301954331,1.1116084,64.74951251,35.25048749,46.77906728,1.610863848,0.059617482,35.41703467,64.58296533,0.842852954,53.01379535,46.98620465,0.375820796,0.21926015,0.767857143,-0.128350451,65.05497955,0.696813168,0.128181848,67.03433573,1.171225881,59.80524927,40.19475073
586,14.69227045,0.263826831,-0.043042471,46.93985412,53.06014588,48.97274744,1.48770824,-0.384786715,28.17200271,71.82799729,-0.341253258,34.84340034,65.15659966,0.441804568,0.259922361,0.73890785,-0.491930536,58.78917853,0.661116661,-1.312118935,43.35451779,-0.427829186,43.25291676,56.74708324
200,14.55865915,0.284084269,0.570432532,56.40226438,43.59773562,53.03580454,1.058452876,-1.933744881,2.919650208,97.08034979,0.296306801,44.62691301,55.37308699,0.37596501,0.195749117,0.845,0.840502453,81.75182227,0.702310359,0.349985301,70.68098054,-1.363312348,33.56943013,66.43056987
